day	hour	value
1	1	5
1	2	4
1	3	2
1	4	4
1	5	4
1	6	4
1	7	3
1	8	3
1	9	3
1	10	3
1	11	5
1	12	5
1	13	5
1	14	6
1	15	8
1	16	6
1	17	7
1	18	6
1	19	6
1	20	8
1	21	6
1	22	7
1	23	6
1	24	6
2	1	5
2	2	3
2	3	6
2	4	5
2	5	4
2	6	4
2	7	4
2	8	4
2	9	6
2	10	5
2	11	6
2	12	7
2	13	7
2	14	6
2	15	7
2	16	7
2	17	9
2	18	8
2	19	8
2	20	7
2	21	6
2	22	7
2	23	7
2	24	6
3	1	7
3	2	5
3	3	5
3	4	6
3	5	5
3	6	4
3	7	4
3	8	3
3	9	4
3	10	5
3	11	7
3	12	7
3	13	8
3	14	8
3	15	7
3	16	9
3	17	8
3	18	7
3	19	8
3	20	8
3	21	8
3	22	6
3	23	7
3	24	5
4	1	5
4	2	5
4	3	4
4	4	4
4	5	5
4	6	5
4	7	4
4	8	3
4	9	5
4	10	4
4	11	6
4	12	8
4	13	7
4	14	8
4	15	9
4	16	7
4	17	8
4	18	8
4	19	8
4	20	8
4	21	7
4	22	6
4	23	7
4	24	6
5	1	6
5	2	5
5	3	5
5	4	5
5	5	4
5	6	4
5	7	4
5	8	3
5	9	4
5	10	4
5	11	6
5	12	6
5	13	8
5	14	9
5	15	7
5	16	7
5	17	9
5	18	8
5	19	7
5	20	8
5	21	7
5	22	7
5	23	8
5	24	6
6	1	6
6	2	6
6	3	5
6	4	5
6	5	2
6	6	3
6	7	3
6	8	2
6	9	3
6	10	1
6	11	3
6	12	7
6	13	7
6	14	8
6	15	7
6	16	4
6	17	7
6	18	6
6	19	6
6	20	6
6	21	5
6	22	7
6	23	7
6	24	5
7	1	5
7	2	5
7	3	5
7	4	3
7	5	0
7	6	2
7	7	2
7	8	0
7	9	0
7	10	0
7	11	1
7	12	5
7	13	7
7	14	9
7	15	7
7	16	7
7	17	6
7	18	5
7	19	6
7	20	6
7	21	6
7	22	6
7	23	7
7	24	5
